study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,study_color_code,compact_object_type
Chu_2021_BSE,Chu_γ1.1_kb_β0.8_Millennium-II_to_γ1.3_kb_β0.8_Millennium-II,Chu_2021_BSE,Chu_γ1.1_kb_β0.8_Millennium-II,Chu_γ1.3_kb_β0.8_Millennium-II,angular momentum,gamma,γ1.1_kb_β0.8_Millennium-II to γ1.3_kb_β0.8_Millennium-II,1.1,1.3,14.5,229,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.8_Millennium-II_to_γ1.5_kb_β0.8_Millennium-II,Chu_2021_BSE,Chu_γ1.3_kb_β0.8_Millennium-II,Chu_γ1.5_kb_β0.8_Millennium-II,angular momentum,gamma,γ1.3_kb_β0.8_Millennium-II to γ1.5_kb_β0.8_Millennium-II,1.3,1.5,229,208,,NS-NS
Chu_2021_BSE,Chu_γ1.5_kb_β0.8_Millennium-II_to_γ1.7_kb_β0.8_Millennium-II,Chu_2021_BSE,Chu_γ1.5_kb_β0.8_Millennium-II,Chu_γ1.7_kb_β0.8_Millennium-II,angular momentum,gamma,γ1.5_kb_β0.8_Millennium-II to γ1.7_kb_β0.8_Millennium-II,1.5,1.7,208,455,,NS-NS
Chu_2021_BSE,Chu_γ1.1_kb_β0.8_EAGLE_to_γ1.3_kb_β0.8_EAGLE,Chu_2021_BSE,Chu_γ1.1_kb_β0.8_EAGLE,Chu_γ1.3_kb_β0.8_EAGLE,angular momentum,gamma,γ1.1_kb_β0.8_EAGLE to γ1.3_kb_β0.8_EAGLE,1.1,1.3,263,733,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.8_EAGLE_to_γ1.5_kb_β0.8_EAGLE,Chu_2021_BSE,Chu_γ1.3_kb_β0.8_EAGLE,Chu_γ1.5_kb_β0.8_EAGLE,angular momentum,gamma,γ1.3_kb_β0.8_EAGLE to γ1.5_kb_β0.8_EAGLE,1.3,1.5,733,75.2,,NS-NS
Chu_2021_BSE,Chu_γ1.5_kb_β0.8_EAGLE_to_γ1.7_kb_β0.8_EAGLE,Chu_2021_BSE,Chu_γ1.5_kb_β0.8_EAGLE,Chu_γ1.7_kb_β0.8_EAGLE,angular momentum,gamma,γ1.5_kb_β0.8_EAGLE to γ1.7_kb_β0.8_EAGLE,1.5,1.7,75.2,795,,NS-NS
Chu_2021_BSE,Chu_γ1.1_kb_β0.8_Illustris-TNG_to_γ1.3_kb_β0.8_Illustris-TNG,Chu_2021_BSE,Chu_γ1.1_kb_β0.8_Illustris-TNG,Chu_γ1.3_kb_β0.8_Illustris-TNG,angular momentum,gamma,γ1.1_kb_β0.8_Illustris-TNG to γ1.3_kb_β0.8_Illustris-TNG,1.1,1.3,94.7,128,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.8_Illustris-TNG_to_γ1.5_kb_β0.8_Illustris-TNG,Chu_2021_BSE,Chu_γ1.3_kb_β0.8_Illustris-TNG,Chu_γ1.5_kb_β0.8_Illustris-TNG,angular momentum,gamma,γ1.3_kb_β0.8_Illustris-TNG to γ1.5_kb_β0.8_Illustris-TNG,1.3,1.5,128,3.1,,NS-NS
Chu_2021_BSE,Chu_γ1.5_kb_β0.8_Illustris-TNG_to_γ1.7_kb_β0.8_Illustris-TNG,Chu_2021_BSE,Chu_γ1.5_kb_β0.8_Illustris-TNG,Chu_γ1.7_kb_β0.8_Illustris-TNG,angular momentum,gamma,γ1.5_kb_β0.8_Illustris-TNG to γ1.7_kb_β0.8_Illustris-TNG,1.5,1.7,3.1,89.1,,NS-NS
Chu_2021_BSE,Chu_γ1.1_kb_β0.8_Madau_Dickinson_to_γ1.3_kb_β0.8_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.1_kb_β0.8_Madau_Dickinson,Chu_γ1.3_kb_β0.8_Madau_Dickinson,angular momentum,gamma,γ1.1_kb_β0.8_Madau_Dickinson to γ1.3_kb_β0.8_Madau_Dickinson,1.1,1.3,195,400,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.8_Madau_Dickinson_to_γ1.5_kb_β0.8_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.3_kb_β0.8_Madau_Dickinson,Chu_γ1.5_kb_β0.8_Madau_Dickinson,angular momentum,gamma,γ1.3_kb_β0.8_Madau_Dickinson to γ1.5_kb_β0.8_Madau_Dickinson,1.3,1.5,400,37.8,,NS-NS
