compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,submodel string,notes,submodel change 1,submodel change 2,sfrd-1,sfrd-2,sfrd-3,sfrd-4,sigma_kick,sigma_stripped_SN,alpha_CE,beta_MT,gamma_AM,CE_pessimistic,CE_prescription,lambda_CE,RMP,PISN_prescription,MT_stability,Eddington_limited,f_WR,stellar_tracks,binding_energy
BH-BH,isolated-binary-evolution,Mapelli_2017_MOBSE,Mapelli et al. (2017),"{Giacobbo}, Nicola",2017,10,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.2422M/abstract,https://arxiv.org/pdf/1708.05722.pdf,MOBSE,range,125,,D,D,D,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mapelli_2017_MOBSE,Mapelli et al. (2017),"{Giacobbo}, Nicola",2017,10,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.2422M/abstract,https://arxiv.org/pdf/1708.05722.pdf,MOBSE,range,155,,R,R,R,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mapelli_2017_MOBSE,Mapelli et al. (2017),"{Giacobbo}, Nicola",2017,10,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.2422M/abstract,https://arxiv.org/pdf/1708.05722.pdf,MOBSE,range,572,,DHG,DHG,DHG,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mapelli_2017_MOBSE,Mapelli et al. (2017),"{Giacobbo}, Nicola",2017,10,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.2422M/abstract,https://arxiv.org/pdf/1708.05722.pdf,MOBSE,range,20,,DK,DK,DK,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mapelli_2017_MOBSE,Mapelli et al. (2017),"{Giacobbo}, Nicola",2017,10,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.2422M/abstract,https://arxiv.org/pdf/1708.05722.pdf,MOBSE,range,145,,D0.02,D0.02,D0.02,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mapelli_2017_MOBSE,Mapelli et al. (2017),"{Giacobbo}, Nicola",2017,10,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.2422M/abstract,https://arxiv.org/pdf/1708.05722.pdf,MOBSE,range,278,,D1.5,D1.5,D1.5,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,184.86,,Ablimit_mod1_case1,Ablimit_mod1_case1,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,39.897,,Ablimit_mod1_case2,Ablimit_mod1_case2,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,70.317,,Ablimit_mod1_case3,Ablimit_mod1_case3,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,114.66,,Ablimit_mod1_case4,Ablimit_mod1_case4,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,75.114,,Ablimit_mod1_case5,Ablimit_mod1_case5,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,43.992,,Ablimit_mod1_case6,Ablimit_mod1_case6,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,118.17,,Ablimit_mod1_case7,Ablimit_mod1_case7,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,43.992,,Ablimit_mod1_case8,Ablimit_mod1_case8,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,75.465,,Ablimit_mod1_case9,Ablimit_mod1_case9,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,237.51,,Ablimit_mod2_case1,Ablimit_mod2_case1,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,38.61,,Ablimit_mod2_case2,Ablimit_mod2_case2,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,81.9,,Ablimit_mod2_case3,Ablimit_mod2_case3,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,145.08,,Ablimit_mod2_case4,Ablimit_mod2_case4,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,39.78,,Ablimit_mod2_case5,Ablimit_mod2_case5,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,42.12,,Ablimit_mod2_case6,Ablimit_mod2_case6,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,138.06,,Ablimit_mod2_case7,Ablimit_mod2_case7,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,21.06,,Ablimit_mod2_case8,Ablimit_mod2_case8,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,44.46,,Ablimit_mod2_case9,Ablimit_mod2_case9,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,176.67,,Ablimit_mod3_case1,Ablimit_mod3_case1,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,149.76,,Ablimit_mod3_case2,Ablimit_mod3_case2,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,70.2,,Ablimit_mod3_case3,Ablimit_mod3_case3,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,122.85,,Ablimit_mod3_case4,Ablimit_mod3_case4,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,147.42,,Ablimit_mod3_case5,Ablimit_mod3_case5,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,71.37,,Ablimit_mod3_case6,Ablimit_mod3_case6,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,122.85,,Ablimit_mod3_case7,Ablimit_mod3_case7,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,147.42,,Ablimit_mod3_case8,Ablimit_mod3_case8,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,70.2,,Ablimit_mod3_case9,Ablimit_mod3_case9,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,122.85,,Ablimit_mod4_case1,Ablimit_mod4_case1,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,301.86,,Ablimit_mod4_case2,Ablimit_mod4_case2,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,96.174,,Ablimit_mod4_case3,Ablimit_mod4_case3,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,188.37,,Ablimit_mod5_case1,Ablimit_mod5_case1,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,285.48,,Ablimit_mod5_case2,Ablimit_mod5_case2,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,82.017,,Ablimit_mod5_case3,Ablimit_mod5_case3,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Ablimit_2018_BSE,Ablimit and Maeda (2018),Ablimit,2018,10,https://ui.adsabs.harvard.edu/abs/2018ApJ...866..151A/abstract,https://arxiv.org/abs/1710.05504,BSE,range,189.54,,Ablimit_mod6_case1,Ablimit_mod6_case1,,,,,,,,,,,,,,,,,,,,,,
