study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,study_color_code,compact_object_type
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD311,B22-Q-SFRD321,star formation history,GSMF,Q-SFRD311 to Q-SFRD321,Panter2004,Furlong2015-single,559.1206191052331,510.4171623201134,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD311,B22-Q-SFRD312,star formation history,MZR,Q-SFRD311 to Q-SFRD312,LangerNorman2006,LangerNorman2006+offset,559.1206191052331,164.88979410059775,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD312,B22-Q-SFRD322,star formation history,GSMF,Q-SFRD312 to Q-SFRD322,Panter2004,Furlong2015-single,164.88979410059775,203.19519859084355,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD312,B22-Q-SFRD313,star formation history,MZR,Q-SFRD312 to Q-SFRD313,LangerNorman2006+offset,Ma2016,164.88979410059775,311.7935632848741,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD313,B22-Q-SFRD323,star formation history,GSMF,Q-SFRD313 to Q-SFRD323,Panter2004,Furlong2015-single,311.7935632848741,318.83245343708325,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD321,B22-Q-SFRD331,star formation history,GSMF,Q-SFRD321 to Q-SFRD331,Furlong2015-single,Furlong2015-double,510.4171623201134,523.33625933055,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD321,B22-Q-SFRD322,star formation history,MZR,Q-SFRD321 to Q-SFRD322,LangerNorman2006,LangerNorman2006+offset,510.4171623201134,203.19519859084355,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD322,B22-Q-SFRD332,star formation history,GSMF,Q-SFRD322 to Q-SFRD332,Furlong2015-single,Furlong2015-double,203.19519859084355,207.45091884037723,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD322,B22-Q-SFRD323,star formation history,MZR,Q-SFRD322 to Q-SFRD323,LangerNorman2006+offset,Ma2016,203.19519859084355,318.83245343708325,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD323,B22-Q-SFRD333,star formation history,GSMF,Q-SFRD323 to Q-SFRD333,Furlong2015-single,Furlong2015-double,318.83245343708325,329.63170420600665,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD331,B22-Q-SFRD332,star formation history,MZR,Q-SFRD331 to Q-SFRD332,LangerNorman2006,LangerNorman2006+offset,523.33625933055,207.45091884037723,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD332,B22-Q-SFRD333,star formation history,MZR,Q-SFRD332 to Q-SFRD333,LangerNorman2006+offset,Ma2016,207.45091884037723,329.63170420600665,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD111,B22-R-SFRD211,star formation history,SFRD,R-SFRD111 to R-SFRD211,Madau&Dickinson2014,Strolger2004,632.1759960265516,607.1471084999029,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD111,B22-R-SFRD121,star formation history,GSMF,R-SFRD111 to R-SFRD121,Panter2004,Furlong2015-single,632.1759960265516,573.4033835525776,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD111,B22-R-SFRD112,star formation history,MZR,R-SFRD111 to R-SFRD112,LangerNorman2006,LangerNorman2006+offset,632.1759960265516,184.7196203471839,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD112,B22-R-SFRD212,star formation history,SFRD,R-SFRD112 to R-SFRD212,Madau&Dickinson2014,Strolger2004,184.7196203471839,212.8240355529766,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD112,B22-R-SFRD122,star formation history,GSMF,R-SFRD112 to R-SFRD122,Panter2004,Furlong2015-single,184.7196203471839,223.6083783310435,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD112,B22-R-SFRD113,star formation history,MZR,R-SFRD112 to R-SFRD113,LangerNorman2006+offset,Ma2016,184.7196203471839,352.4266400692552,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD113,B22-R-SFRD213,star formation history,SFRD,R-SFRD113 to R-SFRD213,Madau&Dickinson2014,Strolger2004,352.4266400692552,372.332906223898,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD113,B22-R-SFRD123,star formation history,GSMF,R-SFRD113 to R-SFRD123,Panter2004,Furlong2015-single,352.4266400692552,355.6648341193145,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD121,B22-R-SFRD221,star formation history,SFRD,R-SFRD121 to R-SFRD221,Madau&Dickinson2014,Strolger2004,573.4033835525776,543.7798481121358,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD121,B22-R-SFRD131,star formation history,GSMF,R-SFRD121 to R-SFRD131,Furlong2015-single,Furlong2015-double,573.4033835525776,587.5731124575493,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD121,B22-R-SFRD122,star formation history,MZR,R-SFRD121 to R-SFRD122,LangerNorman2006,LangerNorman2006+offset,573.4033835525776,223.6083783310435,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD122,B22-R-SFRD222,star formation history,SFRD,R-SFRD122 to R-SFRD222,Madau&Dickinson2014,Strolger2004,223.6083783310435,236.0331141756237,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD122,B22-R-SFRD132,star formation history,GSMF,R-SFRD122 to R-SFRD132,Furlong2015-single,Furlong2015-double,223.6083783310435,226.76292795684608,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD122,B22-R-SFRD123,star formation history,MZR,R-SFRD122 to R-SFRD123,LangerNorman2006+offset,Ma2016,223.6083783310435,355.6648341193145,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD123,B22-R-SFRD223,star formation history,SFRD,R-SFRD123 to R-SFRD223,Madau&Dickinson2014,Strolger2004,355.6648341193145,361.298399879571,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD123,B22-R-SFRD133,star formation history,GSMF,R-SFRD123 to R-SFRD133,Furlong2015-single,Furlong2015-double,355.6648341193145,367.0483241216937,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD131,B22-R-SFRD231,star formation history,SFRD,R-SFRD131 to R-SFRD231,Madau&Dickinson2014,Strolger2004,587.5731124575493,557.0269729011115,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD131,B22-R-SFRD132,star formation history,MZR,R-SFRD131 to R-SFRD132,LangerNorman2006,LangerNorman2006+offset,587.5731124575493,226.76292795684608,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD132,B22-R-SFRD232,star formation history,SFRD,R-SFRD132 to R-SFRD232,Madau&Dickinson2014,Strolger2004,226.76292795684608,239.36654049047107,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD132,B22-R-SFRD133,star formation history,MZR,R-SFRD132 to R-SFRD133,LangerNorman2006+offset,Ma2016,226.76292795684608,367.0483241216937,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD133,B22-R-SFRD233,star formation history,SFRD,R-SFRD133 to R-SFRD233,Madau&Dickinson2014,Strolger2004,367.0483241216937,372.1763593871192,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD211,B22-R-SFRD311,star formation history,SFRD,R-SFRD211 to R-SFRD311,Strolger2004,Madau&Fragos2017,607.1471084999029,425.45710769007286,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD211,B22-R-SFRD221,star formation history,GSMF,R-SFRD211 to R-SFRD221,Panter2004,Furlong2015-single,607.1471084999029,543.7798481121358,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD211,B22-R-SFRD212,star formation history,MZR,R-SFRD211 to R-SFRD212,LangerNorman2006,LangerNorman2006+offset,607.1471084999029,212.8240355529766,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD212,B22-R-SFRD312,star formation history,SFRD,R-SFRD212 to R-SFRD312,Strolger2004,Madau&Fragos2017,212.8240355529766,132.5681578996901,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD212,B22-R-SFRD222,star formation history,GSMF,R-SFRD212 to R-SFRD222,Panter2004,Furlong2015-single,212.8240355529766,236.0331141756237,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD212,B22-R-SFRD213,star formation history,MZR,R-SFRD212 to R-SFRD213,LangerNorman2006+offset,Ma2016,212.8240355529766,372.332906223898,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD213,B22-R-SFRD313,star formation history,SFRD,R-SFRD213 to R-SFRD313,Strolger2004,Madau&Fragos2017,372.332906223898,246.56735029163121,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD213,B22-R-SFRD223,star formation history,GSMF,R-SFRD213 to R-SFRD223,Panter2004,Furlong2015-single,372.332906223898,361.298399879571,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD221,B22-R-SFRD321,star formation history,SFRD,R-SFRD221 to R-SFRD321,Strolger2004,Madau&Fragos2017,543.7798481121358,384.7525175220589,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD221,B22-R-SFRD231,star formation history,GSMF,R-SFRD221 to R-SFRD231,Furlong2015-single,Furlong2015-double,543.7798481121358,557.0269729011115,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD221,B22-R-SFRD222,star formation history,MZR,R-SFRD221 to R-SFRD222,LangerNorman2006,LangerNorman2006+offset,543.7798481121358,236.0331141756237,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-R-SFRD222,B22-R-SFRD322,star formation history,SFRD,R-SFRD222 to R-SFRD322,Strolger2004,Madau&Fragos2017,236.0331141756237,157.37627273187755,,NS-BH
