DCOlabel,SFRD_variation,source_file,model_name,total_rate,without_CE_fraction,with_CE_fraction,sum_CE_fractions,sum_minus_one,fractions_sum_to_one
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,C,593.0997803165114,0.5287154579432554,0.4712845420567439,0.9999999999999993,-6.661338147750939e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,D,732.1914329912221,0.7298217377285052,0.27017826227149383,0.9999999999999991,-8.881784197001252e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,E,732.0882636119859,0.5410282138633922,0.45897178613660716,0.9999999999999993,-6.661338147750939e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,F,1099.3735566164607,0.3887386818219767,0.6112613181780229,0.9999999999999996,-4.440892098500626e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,G,426.613312192636,0.8812444256550408,0.11875557434495962,1.0000000000000004,4.440892098500626e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,H,662.2666089222208,0.6058393883630543,0.3941606116369456,0.9999999999999999,-1.1102230246251565e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,I,973.208604473254,0.4110566274968687,0.5889433725031311,0.9999999999999998,-2.220446049250313e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,J,732.7637320296759,0.5098167012160986,0.49018329878390177,1.0000000000000004,4.440892098500626e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,K,1095.104240259813,0.3876156825516131,0.6123843174483868,1.0,0.0,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,L,674.8002492197952,0.5903148563476638,0.40968514365233566,0.9999999999999994,-5.551115123125783e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,M,801.5563955732259,0.5028665691129375,0.49713343088706274,1.0000000000000002,2.220446049250313e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,N,675.9578191937909,0.5707850358831942,0.4292149641168052,0.9999999999999993,-6.661338147750939e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,O,758.6388943823318,0.5548889762407779,0.4451110237592225,1.0000000000000004,4.440892098500626e-16,True
BHBH,231,Formation_Channels_Local_Rates_BHBH_xyz_231.csv,P,800.0488500889496,0.5101427009073107,0.489857299092688,0.9999999999999987,-1.3322676295501878e-15,True
